,ID,Label,snr,amplitude,peak_frequency,central_freq,duration,bandwidth,chisq,chisq_dof,GPStime,channel,Air_Compressor,Blip,Chirp,Extremely_Loud,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,None_of_the_Above,No_Glitch,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
9279,IMLn5RUeDj,No_Glitch,8.04804,2.0318e-22,42.01979,1265.98647,2.125,2450.81144,0.0,0.0,1136997298.44,H1:GDS-CALIB_STRAIN,7.98798339474e-07,3.74478332787e-08,1.40974156793e-08,5.53407168979e-08,2.33108693237e-07,6.54599840999e-09,3.04329681455e-08,1.41689397992e-07,6.28453708487e-05,1.17418551326e-06,0.999891221523,1.34573213018e-07,1.26304030346e-05,1.50947132571e-09,1.9067501853e-05,6.13039290442e-08,2.53354841107e-07,9.78609750746e-06,2.43776355546e-07,1.23828897358e-06
9280,x0IzQEVv4F,No_Glitch,7.84861,5.1858e-22,40.07951,50.10525,0.625,21.72911,0.0,0.0,1132613253.81,H1:GDS-CALIB_STRAIN,7.14647825362e-08,1.37341586992e-08,1.44312091166e-08,4.30454392131e-08,7.04810986463e-07,8.1686009068e-09,3.08126324455e-08,5.91460945998e-07,2.86281738227e-05,6.82772270011e-06,0.999876439571,3.0300304843e-07,6.02227544277e-07,3.29389919784e-08,7.55481082138e-08,1.50371934069e-05,8.38818010607e-08,1.19573642223e-05,5.89416401908e-07,5.79237821512e-05
9281,IxEgAYaKPN,No_Glitch,37.6015,1.05162e-21,42.01979,3979.95781,11.0,7941.04987,0.0,0.0,1130578430.81,H1:GDS-CALIB_STRAIN,3.40081214745e-07,2.1121328686e-08,1.04392817946e-07,1.55526379331e-06,1.00354304777e-06,2.0186919869e-07,9.27981318455e-07,9.86776922218e-06,0.000153642642545,3.54338153556e-05,0.999564051628,1.72815834958e-05,1.12152611109e-06,5.02367356603e-07,1.71206829691e-06,1.24079372199e-06,2.15860700337e-06,0.000137012233608,6.0480859247e-05,1.13613841677e-05
9282,FtgOIDypGD,No_Glitch,7.96931,7.19416e-23,53.73008,2668.20461,1.25,5230.66403,0.0,0.0,1134550827.19,H1:GDS-CALIB_STRAIN,8.71318945883e-07,1.50315120351e-08,1.70438863023e-08,4.02571131985e-08,2.44286366069e-06,4.40303082883e-09,2.98703071167e-08,8.11328675354e-07,0.000423796387622,5.44751992493e-06,0.999534547329,4.78801268855e-07,1.26713302961e-06,3.16204018525e-09,3.65233540833e-06,2.29201796174e-05,1.38969923569e-07,1.18144362204e-06,1.46732563877e-08,2.34597655435e-06
9283,tM9PdtP3eX,No_Glitch,8.28795,1.01268e-22,47.51554,2663.87451,4.125,5261.20068,0.0,0.0,1132997776.31,H1:GDS-CALIB_STRAIN,5.55225642529e-06,3.94340503362e-07,1.73286338168e-07,1.46454013361e-07,2.82105077076e-07,1.53530272939e-08,8.81923085672e-08,1.4980372498e-07,0.000307684531435,1.63649183378e-05,0.999296188354,1.2151635076e-07,6.37387274764e-05,1.83487269823e-08,5.34927721674e-06,1.85753688129e-05,9.7988426262e-08,2.12267277675e-05,3.60456942872e-06,0.000260200729826
9284,A70CoHsmoY,No_Glitch,7.78398,9.49076e-21,1996.20047,2007.87128,0.02344,123.80295,0.0,0.0,1129792700.68,H1:GDS-CALIB_STRAIN,7.45323575302e-07,6.80678624576e-08,1.21321566127e-08,4.8661402019e-08,3.54431534788e-07,1.49679895145e-08,4.81203557001e-08,1.23458664802e-06,0.00063235044945,3.38668473887e-06,0.999247968197,2.98667146126e-07,2.71879380307e-05,5.98127458673e-09,6.16218471805e-07,1.93056007447e-06,1.9629518988e-07,1.00778688648e-05,5.03372802996e-07,7.29308449081e-05
9285,07CiWjTCiO,No_Glitch,8.26252,7.94238e-22,38.7132,1692.59896,1.31836,3340.70832,0.0,0.0,1131612954.78,H1:GDS-CALIB_STRAIN,3.37257984029e-06,7.81282949447e-07,1.85703740385e-07,1.21054384294e-07,1.14634412967e-05,6.58376606566e-08,1.25385540173e-07,4.62254718059e-07,0.000436594127677,2.66954757535e-05,0.999162912369,1.27573002828e-06,5.35100007255e-05,9.44040223771e-08,6.32017463431e-06,6.64106346449e-06,6.88569741669e-07,1.60033978318e-05,1.22099572764e-06,0.000271450408036
9286,AUW64SfvAh,No_Glitch,8.06976,1.1721e-19,10.36169,54.86589,2.25,89.92362,0.0,0.0,1134309539.88,H1:GDS-CALIB_STRAIN,3.14848506378e-07,1.62304303331e-07,5.59642288067e-08,7.02599720626e-08,3.02290573018e-07,1.55117128031e-08,3.22780451256e-08,5.19991772308e-07,0.000531991943717,3.79760604119e-05,0.999035298824,1.09159195461e-07,6.37730918243e-05,5.66061011398e-08,1.74525752072e-07,0.000216417291085,1.10417914811e-07,1.31868750941e-06,1.09443294605e-06,0.000110188557301
9287,3oGGrENryz,No_Glitch,7.9487,2.20206e-21,38.02976,43.59885,1.25,49.56195,0.0,0.0,1136038400.94,H1:GDS-CALIB_STRAIN,5.25175494204e-07,2.00478833534e-08,1.16282983242e-07,2.32905335906e-06,1.03161653442e-06,2.11909977565e-07,1.70344708295e-06,1.72796480911e-05,0.00039378888323,2.49080949288e-05,0.998838424683,2.21924165089e-05,1.69733027633e-06,5.07029199071e-07,2.61305444837e-06,8.85180725163e-07,2.154357162e-06,0.000618148827925,5.67734205106e-05,1.47068813021e-05
9288,y6JSiUSa3U,No_Glitch,7.56091,4.61033e-20,11.31869,3690.20138,1.0752,7362.16556,0.0,0.0,1131954762.09,H1:GDS-CALIB_STRAIN,4.20363039666e-06,3.50451507813e-08,6.79068108411e-08,2.75533494687e-07,3.59392015525e-06,3.83678226967e-08,1.02059260598e-07,3.93609798266e-06,0.000204033305636,0.00010546897829,0.998798489571,5.72330873183e-06,1.1742413335e-05,5.48923253518e-08,8.62387025791e-07,9.77418130788e-06,3.44176811495e-07,0.000319364073221,1.81506959507e-06,0.000530095770955
9289,pz202Hi1SI,No_Glitch,7.53126,1.83689e-20,14.8512,2808.96112,3.5,5589.11061,0.0,0.0,1130550492.75,H1:GDS-CALIB_STRAIN,1.08926155917e-06,5.15603574058e-07,2.85583503512e-08,1.01282715548e-07,1.22797949587e-08,9.4429957187e-09,2.83584000726e-07,8.99761232631e-07,0.00100907485466,4.58682006865e-06,0.998690962791,2.34304323499e-07,6.11222640146e-05,7.43603534303e-09,4.58089198219e-06,1.67009588381e-07,2.26016112492e-07,0.000196933615371,6.48226068733e-06,2.26966312766e-05
9290,B7wJL61XEN,No_Glitch,36.48582,4.30789e-21,46.7331,1748.48645,2.625,3432.9729,0.0,0.0,1128837787.29,H1:GDS-CALIB_STRAIN,4.4722162329e-07,5.2361999181e-09,5.89627795478e-08,1.23900019844e-06,2.09003133023e-07,6.10148092051e-08,1.13497071652e-06,1.87150453712e-05,0.000878154707607,1.25553797261e-05,0.998638153076,8.16324427433e-06,8.07148296644e-07,6.6346004246e-08,2.20625770453e-06,3.68096948478e-07,9.93659000414e-07,0.000329343660269,0.000100727032986,6.60239766148e-06
9291,92afuQpCDv,No_Glitch,16.62644,1.49571e-21,38.7132,3880.36442,7.82812,7734.76733,0.0,0.0,1133468412.16,H1:GDS-CALIB_STRAIN,4.99389955166e-07,3.26086890823e-08,2.15437722773e-07,2.72394527201e-06,1.12558700494e-06,2.80993134538e-07,1.50400126131e-06,1.32954237415e-05,0.00031333140214,2.54757633229e-05,0.998580574989,1.8737056962e-05,2.03892523132e-06,1.26978204662e-06,1.84721352525e-06,1.98168186216e-06,2.01613192985e-06,0.000819930282887,0.00017542304704,3.76884927391e-05
9292,7OtoyUW17A,No_Glitch,7.59818,5.94289e-22,61.83394,73.82106,0.9375,50.25203,0.0,0.0,1127419554.53,H1:GDS-CALIB_STRAIN,3.34967239723e-06,8.26853181479e-07,2.17995918206e-07,2.56817600075e-07,2.78479956251e-06,9.52959595679e-08,6.43031228265e-08,6.31025500297e-07,0.000515007704962,7.6635980804e-05,0.99845468998,1.57698011094e-07,0.000240164328716,7.14403824986e-08,1.47153705257e-05,0.000175957844476,2.57428922623e-07,2.84113993985e-05,1.60886952472e-06,0.000484068470541
