index,ID,Label,snr,amplitude,peak_frequency,central_freq,duration,bandwidth,chisq,chisq_dof,GPStime,channel,Air_Compressor,Blip,Chirp,Extremely_Loud,Helix,Koi_Fish,Light_Modulation,Low_Frequency_Burst,Low_Frequency_Lines,None_of_the_Above,No_Glitch,Paired_Doves,Power_Line,Repeating_Blips,Scattered_Light,Scratchy,Tomte,Violin_Mode,Wandering_Line,Whistle
15264,VvykPZ3GoG,Scratchy,9.7387,6.93464e-23,171.21339,198.04401,1.57324,217.29889,0.0,0.0,1128779800.44,H1:GDS-CALIB_STRAIN,5.69709337786e-22,4.53913408992e-17,7.23489719062e-15,9.08307416538e-16,6.85913340015e-11,8.75555722962e-16,1.22631921326e-16,4.01776975989e-17,1.64589261617e-16,3.27519131815e-08,3.48756478341e-13,2.47135669169e-20,5.71785134608e-19,1.10602126416e-11,6.89273164226e-19,0.999999940395,4.86457628713e-19,4.17296907448e-21,4.02186215325e-18,1.78171368752e-15
15266,rPNBBd5dMN,Scratchy,8.58058,4.95289e-23,131.92144,198.81752,0.39062,185.82536,0.0,0.0,1134320827.91,H1:GDS-CALIB_STRAIN,2.12041429851e-19,8.64919172901e-17,1.24303092979e-14,1.9779005365e-14,7.28537230543e-11,1.79290214572e-15,3.16164364925e-16,7.19797415095e-17,2.22490788e-14,3.22774305062e-08,6.38881933468e-11,1.6454460379e-17,3.76717140962e-15,8.17320169877e-11,4.46416108618e-17,0.999999940395,8.83439548293e-17,1.16285910781e-17,1.09806664599e-16,1.03359542672e-14
15269,od2pZonEh7,Scratchy,12.5243,8.67064e-23,236.87324,1731.60756,0.75,3228.742,0.0,0.0,1128695180.32,H1:GDS-CALIB_STRAIN,7.15782875972e-18,9.60015389836e-16,1.93758190373e-13,6.00533442351e-15,1.43483266934e-10,7.63201842355e-15,5.61231325356e-17,5.0372205649e-17,2.85958958268e-15,1.20093204714e-07,4.16816711354e-12,1.25457087639e-18,2.72150817744e-15,1.4999957873e-11,7.10801131102e-17,0.999999880791,9.67702716758e-18,2.86663495394e-22,5.17498187109e-17,2.2897735784e-15
15272,NAN0MYXgJW,Scratchy,11.9584,6.94844e-23,170.35123,224.72007,0.38672,303.85773,0.0,0.0,1128782450.42,H1:GDS-CALIB_STRAIN,1.28797222273e-18,3.60578571396e-14,2.49210999059e-11,4.28372445751e-14,4.79713513357e-09,4.45997947775e-14,6.78164189844e-14,2.9656310773e-14,5.21070762493e-13,2.06796386237e-07,3.09941100562e-11,7.02951584135e-17,4.5990400319e-16,1.91715643361e-10,4.49855979562e-15,0.999999761581,2.40131802374e-16,2.96579466815e-18,5.37177707237e-17,2.02257745871e-14
15275,KyR32WeMwk,Scratchy,12.82203,1.0369e-22,178.97228,195.71637,0.28125,221.95417,0.0,0.0,1128782449.94,H1:GDS-CALIB_STRAIN,1.71312734115e-18,2.15771716087e-14,3.02053998133e-12,1.91054515416e-14,3.20840409795e-10,7.65116814442e-15,1.89902012742e-15,7.56968137261e-14,6.26996230543e-13,3.40399509469e-07,4.46479225119e-12,1.92644429643e-18,2.07534705545e-16,1.43485353807e-11,4.03482111546e-15,0.999999642372,9.27745525658e-17,8.18331234027e-21,8.86335027853e-18,2.73704263464e-14
15280,esbKYEZMty,Scratchy,8.30939,6.40272e-23,128.88965,157.98648,0.28125,154.85833,0.0,0.0,1130520393.3,H1:GDS-CALIB_STRAIN,3.81506858169e-14,8.53202716811e-11,2.58753352078e-09,8.87732040655e-11,2.47105802487e-09,4.91470015726e-12,5.91922127632e-12,2.70374759907e-13,8.20490841935e-10,3.2569013797e-07,1.67138466622e-07,1.12844119899e-12,8.59183746371e-09,7.86260301311e-08,4.95960911229e-12,0.999999403954,1.4014002632e-12,2.47678891285e-11,6.12215096327e-12,5.67426439169e-10
15281,xzXliYcrGt,Scratchy,9.65113,5.62066e-23,196.23645,195.77895,0.26562,191.90251,0.0,0.0,1130178290.2,H1:GDS-CALIB_STRAIN,1.65854832072e-15,1.92802926944e-13,1.6515058418e-11,8.25581668458e-14,3.66647832095e-08,6.71609306797e-14,6.96627068639e-14,3.5119674638e-13,3.75463098112e-11,5.48741923012e-07,5.48406031697e-09,1.4769339748e-15,2.42462605169e-14,2.78708254392e-11,4.32219804923e-14,0.999999403954,2.38627858318e-15,3.06568818357e-17,1.98152706571e-15,2.07197401597e-11
15282,dic6hb8Fs5,Scratchy,8.43143,5.79102e-23,211.99407,179.91338,0.28125,140.25658,0.0,0.0,1128695181.69,H1:GDS-CALIB_STRAIN,8.56971608341e-15,1.27131053081e-12,7.60615789103e-12,4.82883307992e-12,4.11278566759e-10,6.59876938248e-13,5.40273446641e-13,2.43043324182e-13,4.40032073279e-11,6.80799757902e-07,1.32318178636e-09,2.4157798937e-15,1.93868727495e-12,1.79384362919e-09,3.25628670621e-14,0.999999344349,1.27549168872e-14,1.73746640689e-16,6.33753141112e-13,6.9675658472e-12
15284,Go0V1TRDk9,Scratchy,12.19963,8.27172e-23,237.32802,255.73776,0.31641,241.82233,0.0,0.0,1128695180.79,H1:GDS-CALIB_STRAIN,3.25554896433e-17,9.0322113192e-15,1.13144953476e-12,2.24977304039e-13,1.15951626078e-09,2.63999163242e-13,4.35066614896e-14,9.39667265575e-15,3.38316370361e-13,8.15884334315e-07,2.95745871369e-12,5.67192782944e-17,1.47177700528e-14,1.93403626447e-09,1.75847766795e-15,0.999999165535,1.18102240587e-16,3.17387727621e-19,4.43212573101e-15,7.19792403307e-14
15285,5vKuNJxfGP,Scratchy,7.84805,5.30158e-23,190.77896,171.62392,0.60938,156.21395,0.0,0.0,1128457187.08,H1:GDS-CALIB_STRAIN,1.54800128315e-16,2.35438486198e-13,8.90882940335e-12,1.17296309384e-12,2.68475769394e-10,7.74944236386e-13,1.61944567999e-14,1.71710129432e-14,6.98592496785e-13,8.76354249613e-07,1.06416386814e-09,8.89139484458e-16,6.72975076273e-13,2.18271445362e-09,2.49217930093e-15,0.99999910593,2.4186205881e-14,1.60364181867e-16,1.29850167755e-14,2.56108328989e-12
